,Variable Name,Description
164,DIBINS3,Ever stopped taking insulin for more than 6 m
165,DIBINS4,Stopped taking insulin first year after diagnosed w/ diabetes
166,DIBGDM,First told you had diabetes during pregnancy
167,DIBBABY,Ever had a baby that weighed 9 lbs. or more
168,DIBPRGM,Ever participated in year-long program to prevent Type 2 diabetes
169,DIBREFER,Ever referred to program to prevent Type 2 diabetes
170,DIBBEGIN,Interested in beginning year-long program to prevent Type 2 diabetes
171,EPILEP1,Ever told that you have a seizure disorder or epilepsy
172,EPILEP2,Currently taking  medicine to control your seizure disorder or epilepsy
173,EPILEP3,Number of seizures of any type in past year
174,EPILEP4,Seen a neurologist or epilepsy specialist  in past year
175,EPILEP5,"Did epilepsy or its treatment interfere with normal activities, past 30 days"
176,AHAYFYR,"Told that you had hay fever, past 12 m"
177,SINYR,"Told that you had sinusitis, past 12 m"
178,CBRCHYR,"Told you had chronic bronchitis, 12 m"
179,KIDWKYR,"Told you had weak/failing kidneys, 12 m"
180,LIVYR,"Told you had liver condition, past 12 m"
181,JNTSYMP,Symptoms of joint pain/aching/stiffness past 30 d
182,JMTHP1,Which joint affected...shoulder-right
183,JMTHP2,Which joint affected...shoulder-left
184,JMTHP3,Which joint affected...elbow-right
185,JMTHP4,Which joint affected...elbow-left
186,JMTHP5,Which joint affected...hip-right
187,JMTHP6,Which joint affected...hip-left
188,JMTHP7,Which joint affected...wrist-right
189,JMTHP8,Which joint affected...wrist-left
190,JMTHP9,Which joint affected...knee-right
191,JMTHP10,Which joint affected...knee-left
192,JMTHP11,Which joint affected...ankle-right
193,JMTHP12,Which joint affected...ankle-left
194,JMTHP13,Which joint affected...toes-right
195,JMTHP14,Which joint affected...toes-left
196,JMTHP15,Which joint affected...fingers/thumb-right
197,JMTHP16,Which joint affected...fingers/thumb-left
198,JMTHP17,Which joint affected...other joint not listed
199,JNTCHR,Joint symptoms begin more than 3 months ago
200,JNTHP,Ever seen doctor or health professional for joint symptoms
201,ARTH1,Ever been told you had arthritis
202,ARTHLMT,Limited due to arthritis or joint symptoms
203,PAINECK,"Had neck pain, past 3 months"
204,PAINLB,"Had low back pain, past 3 months"
205,PAINLEG,Pain spread down leg/below knees
206,PAINFACE,"Had pain in jaw/front of ear, past 3 months"
207,AMIGR,"Had severe headache/migraine, past 3 m"
208,ACOLD2W,Had a head/chest cold past 2 w
209,AINTIL2W,"Had stomach prob w/vomit/diarrhea, 2 w"
210,PREGNOW,Currently pregnant
211,PREGFLYR,Recently pregnant
212,HRAIDNOW,Now use a hearing aid
213,HRAIDEV,Ever used a hearing aid if not now using
214,AHEARST1,Hearing w/o hearing aid
215,AVISION,Trouble seeing even w/glasses/lenses
216,ABLIND,Blind or unable to see at all
217,VIM_DREV,EVER been told you had diabetic retinopathy
218,VIMLS_DR,Lost vision because of diabetic retinopathy
219,VIM_CAEV,EVER been told you had cataracts
220,VIMLS_CA,Lost vision because of cataracts
221,VIMCSURG,Ever had cataract surgery
222,VIM_GLEV,EVER been told you had glaucoma
223,VIMLS_GL,Lost vision because of glaucoma
224,VIM_MDEV,EVER been told you had macular degeneration
225,VIMLS_MD,Lost vision because of macular degeneration
226,VIMGLASS,Currently wear eyeglasses or contact lenses?
227,VIMREAD,Wear eyeglasses or contact lenses to read/write/cook/sew?
228,VIMDRIVE,Wear eyeglasses or contact lenses to drive/read signs/watch TV?
229,AVISREH,Use any vision rehabilitation services
230,AVISDEV,"Use any adaptive devices such as magnifiers, talking materials"
231,AVDF_NWS,Even when wearing glasses difficult for you to read newspapers
232,AVDF_CLS,Even when wearing glasses difficult for you to see up close/cook/sew
233,AVDF_NIT,Even when wearing glasses difficult for you to go down stairs in dim light
234,AVDF_DRV,Even when wearing glasses difficult for you to drive during daytime
235,AVDF_PER,Even when wearing glasses difficult for you to notice objects while walking
236,AVDF_CRD,Even when wearing glasses difficult for you to find something on a crowded
237,AVISEXAM,Last time you had an eye exam (pupils dilated)
238,AVISACT,Participate in sports/other activities that can cause eye injury
239,AVISPROT,"When doing these activities, on average, do you wear eye protection"
240,LUPPRT,Lost all upper & lower natural teeth
241,CHPAIN6M,"How often did you have pain, past 6 m"
242,PAINLMT,"How often did pain limit life/work activities, past 6 m"
243,WKDAYR,"Number of work loss days, past 12 months"
244,BEDDAYR,"Number of bed days, past 12 months"
245,AHSTATYR,"Health better/worse/same, compared w/ 12 months ago"
246,SPECEQ,Have health problem that requires special equipment
247,FLWALK,How difficult to walk 1/4 mile without special equipment
248,FLCLIMB,How difficult to climb 10 steps without special equipment
249,FLSTAND,How difficult to stand 2 hours without special equipment
250,FLSIT,How difficult to sit 2 hours without special equipment
251,FLSTOOP,"How difficult to stoop, bend or kneel without special equipment"
252,FLREACH,How difficult to reach over head without special equipment
253,FLGRASP,How difficult to grasp small objects without special equipment
254,FLCARRY,How difficult to lift/carry 10 lbs without special equipment
255,FLPUSH,How difficult to push large objects without special equipment
256,FLSHOP,How difficult to go out to events without special equipment
257,FLSOCL,How difficult to participate in social activities without special equipment
258,FLRELAX,How difficult to relax at home without special equipment
259,FLA1AR,"Any functional limitation, all conditions"
260,AFLHCA1,Vision/problem seeing causes difficulty with activity
261,AFLHCA2,Hearing problem causes difficulty with activity
262,AFLHCA3,Arthritis/rheumatism causes difficulty with activity
263,AFLHCA4,Back or neck problem causes difficulty with activity
264,AFLHCA5,"Fracture, bone/joint injury causes difficulty with activity"
265,AFLHCA6,Other injury causes difficulty with activity
266,AFLHCA7,Heart problem causes difficulty with activity
267,AFLHCA8,Stroke problem causes difficulty with activity
268,AFLHCA9,Hypertension/high blood pressure causes difficulty with activity
269,AFLHCA10,Diabetes causes difficulty with activity
270,AFLHCA11,"Lung/breathing problem (e.g., asthma) causes difficulty with activity"
271,AFLHCA12,Cancer causes difficulty with activity
272,AFLHCA13,Birth defect causes difficulty with activity
273,ALHCA14A,"Intellectual disability, AKA mental retardation causes difficulty with activity"
274,AFLHCA15,"Other developmental problem (eg, cerebral palsy) causes difficulty with activity"
275,AFLHCA16,Senility causes difficulty with activity
276,AFLHCA17,Depression/anxiety/emotional problem causes difficulty with activity
277,AFLHCA18,Weight problem causes difficulty with activity
278,AFLHC19_,Missing or amputated limb/finger/digit causes difficulty with activity
279,AFLHC20_,Musculoskeletal/connective tissue problem causes difficulty with activity
280,AFLHC21_,Circulation problems (including blood clots) cause difficulty with activity
281,AFLHC22_,Endocrine/nutritional/metabolic problem causes difficulty with activity
282,AFLHC23_,Nervous system/sensory organ condition causes difficulty with activity
283,AFLHC24_,Digestive system problem causes difficulty with activity
284,AFLHC25_,Genitourinary system problem causes difficulty with activity
285,AFLHC26_,Skin/subcutaneous system problem causes difficulty with activity
286,AFLHC27_,Blood or blood-forming organ problem causes difficulty with activity
287,AFLHC28_,Benign tumor/cyst causes difficulty with activity
288,AFLHC29_,Alcohol/drug/substance abuse problem causes difficulty with activity
289,AFLHC30_,Other mental problem/ADD/Bipolar/Schizophrenia causes difficulty with
290,AFLHC31_,Surgical after-effects/medical treatment causes difficulty with activity
291,AFLHC32_,"""Old age""/elderly/aging-related problem causes difficulty with activity"
292,AFLHC33_,Fatigue/tiredness/weakness causes difficulty with activity
293,AFLHC34_,Pregnancy-related problem causes difficulty with activity
294,AFLHCA90,Other impairment/problem (1) causes difficulty with activity
295,AFLHCA91,Other impairment/problem (2) causes difficulty with activity
296,ALTIME1,Duration of vision problem: Number of units
297,ALUNIT1,Duration of vision problem: Time unit
298,ALDURA1,"Duration (in years) of vision problem, recode 1"
299,ALDURB1,"Duration of vision problem, recode 2"
300,ALCHRC1,Vision problem condition status recode
301,ALTIME2,Duration of hearing problem: Number of units
302,ALUNIT2,Duration of hearing problem: Time unit
303,ALDURA2,"Duration (in years) of hearing problem, recode 1"
304,ALDURB2,"Duration of hearing problem, recode 2"
305,ALCHRC2,Hearing problem condition status recode
306,ALTIME3,Duration of arthritis/rheumatism: Number of units
307,ALUNIT3,Duration of arthritis/rheumatism: Time unit
308,ALDURA3,"Duration (in years) of arthritis/rheumatism, recode 1"
309,ALDURB3,"Duration of arthritis/rheumatism, recode 2"
310,ALCHRC3,Arthritis/rheumatism condition status recode
311,ALTIME4,Duration of back or neck problem: Number of units
312,ALUNIT4,Duration of back or neck problem: Time unit
313,ALDURA4,"Duration (in years) of back or neck problem, recode 1"
314,ALDURB4,"Duration of back or neck problem, recode 2"
315,ALCHRC4,Back or neck problem condition status recode
316,ALTIME5,"Duration of fracture, bone/joint injury: Number of units"
317,ALUNIT5,"Duration of fracture, bone/joint injury: Time unit"
318,ALDURA5,"Duration (in years) of fracture, bone/joint injury, recode 1"
319,ALDURB5,"Duration of fracture, bone/joint injury, recode 2"
320,ALCHRC5,"Fracture, bone/joint injury condition status recode"
321,ALTIME6,Duration of other injury: Number of units
322,ALUNIT6,Duration of other injury: Time unit
323,ALDURA6,"Duration (in years) of other injury, recode 1"
324,ALDURB6,"Duration of other injury, recode 2"
325,ALCHRC6,Other injury condition status recode
326,ALTIME7,Duration of heart problem: Number of units
327,ALUNIT7,Duration of heart problem: Time unit
328,ALDURA7,"Duration (in years) of heart problem, recode 1"
329,ALDURB7,"Duration of heart problem, recode 2"
330,ALCHRC7,Heart problem condition status recode
331,ALTIME8,Duration of stroke problem: Number of units
332,ALUNIT8,Duration of stroke problem: Time unit
333,ALDURA8,"Duration (in years) of stroke problem, recode 1"
334,ALDURB8,"Duration of stroke problem, recode 2"
335,ALCHRC8,Stroke problem condition status recode
336,ALTIME9,Duration of hypertension or high blood pressure: Number of units
337,ALUNIT9,Duration of hypertension or high blood pressure: Time unit
338,ALDURA9,Duration (in years) of hypertension or high blood pressure: recode 1
339,ALDURB9,Duration of hypertension or high blood pressure: recode 2
340,ALCHRC9,Hypertension or high blood pressure condition status recode
341,ALTIME10,Duration of diabetes: Number of units
342,ALUNIT10,Duration of diabetes: Time unit
343,ALDURA10,"Duration (in years) of diabetes, recode 1"
344,ALDURB10,"Duration of diabetes, recode 2"
345,ALCHRC10,Diabetes condition status recode
346,ALTIME11,"Duration of lung/breathing problem (e.g., asthma and emphysema): Number of"
347,ALUNIT11,"Duration of lung/breathing problem: (e.g., asthma and emphysema) Time unit"
348,ALDURA11,"Duration (in years) of lung/breathing problem (e.g., asthma), recode 1"
349,ALDURB11,"Duration of lung/breathing problem (e.g., asthma and emphysema), recode 2"
350,ALCHRC11,"Lung/breathing problem (e.g., asthma and emphysema) condition status recode"
351,ALTIME12,Duration of cancer: Number of units
352,ALUNIT12,Duration of cancer: Time unit
353,ALDURA12,"Duration (in years) of cancer, recode 1"
354,ALDURB12,"Duration of cancer, recode 2"
355,ALCHRC12,Cancer condition status recode
356,ALTIME13,Duration of birth defect: Number of units
357,ALUNIT13,Duration of birth defect: Time unit
358,ALDURA13,"Duration (in years) of birth defect, recode 1"
359,ALDURB13,"Duration of birth defect, recode 2"
360,ALCHRC13,Birth defect condition status recode
361,ATIME14A,"Duration of intellectual disability, AKA mental retardation: Number of units"
362,AUNIT14A,"Duration of intellectual disability, also know as mental retardation: Time unit"
363,ADURA14A,"Duration (in years) of intellectual disability, AKA mental retardation, recode 1"
364,ADURB14A,"Duration of intellectual disability, also known as mental retardation, recode 2"
365,ACHRC14A,"Intellectual disability, AKA mental retardation condition status recode"
366,ALTIME15,"Duration of other developmental problem (e.g., cerebral palsy): Number of units"
367,ALUNIT15,"Duration of other developmental problem (e.g., cerebral palsy): Time unit"
368,ALDURA15,"Duration (in years) of other developmental problem (eg cerebral palsy), recode"
369,ALDURB15,"Duration of other developmental problem (e.g., cerebral palsy), recode 2"
370,ALCHRC15,"Other developmental problem (e.g., cerebral palsy) condition status recode"
371,ALTIME16,Duration of senility: Number of units
372,ALUNIT16,Duration of senility: Time unit
373,ALDURA16,"Duration (in years) of senility, recode 1"
374,ALDURB16,"Duration of senility, recode 2"
375,ALCHRC16,Senility condition status recode
376,ALTIME17,Duration of depression/anxiety/emotional problem: Number of units
377,ALUNIT17,Duration of depression/anxiety/emotional problem: Time unit
378,ALDURA17,"Duration (in years) of depression/anxiety/emotional problem, recode 1"
379,ALDURB17,"Duration of depression/anxiety/emotional problem, recode 2"
380,ALCHRC17,Depression/anxiety/emotional problem condition status recode
381,ALTIME18,Duration of weight problem: Number of units
382,ALUNIT18,Duration of weight problem: Time unit
383,ALDURA18,"Duration (in years) of weight problem, recode 1"
384,ALDURB18,"Duration of weight problem, recode 2"
385,ALCHRC18,Weight problem condition status recode
386,ALTIME19,"Duration of missing limbs (fingers, toes); amputation: Number of units"
387,ALUNIT19,"Duration of missing limbs (fingers, toes, or digits); amputation: Time unit"
388,ALDURA19,"Duration (in years) of missing limbs (fingers, toes); amputation, recode 1"
389,ALDURB19,"Duration of missing limbs (fingers, toes, or digits); amputation, recode 2"
390,ALCHRC19,"Missing limbs (fingers, toes, or digits); amputation condition status recode"
391,ALTIME20,Duration of musculoskeletal/connective tissue problem: Number of units
392,ALUNIT20,Duration of musculoskeletal/connective tissue problem: Time unit
393,ALDURA20,"Duration (in years) of musculoskeletal/connective tissue problem, recode 1"
394,ALDURB20,"Duration of musculoskeletal/connective tissue problem, recode 2"
395,ALCHRC20,Musculoskeletal/connective tissue problem condition status recode
396,ALTIME21,Duration of circulation problems (including blood clots): Number of units
397,ALUNIT21,Duration of circulation problems (including blood clots): Time unit
398,ALDURA21,"Duration (in years) of circulation problems (including blood clots), recode 1"
399,ALDURB21,"Duration of circulation problems (including blood clots), recode 2"
400,ALCHRC21,Circulation problems (including blood clots) condition status recode
401,ALTIME22,Duration of endocrine/nutritional/metabolic problem: Number of units
402,ALUNIT22,Duration of endocrine/nutritional/metabolic problem: Time unit
403,ALDURA22,"Duration (in years) of endocrine/nutritional/metabolic problem, recode 1"
404,ALDURB22,"Duration of endocrine/nutritional/metabolic problem, recode 2"
405,ALCHRC22,Endocrine/nutritional/metabolic problem condition status recode
406,ALTIME23,Duration of nervous system/sensory organ condition: Number of units
407,ALUNIT23,Duration of nervous system/sensory organ condition: Time unit
408,ALDURA23,"Duration (in years) of nervous system/sensory organ condition, recode 1"
409,ALDURB23,"Duration of nervous system/sensory organ condition, recode 2"
410,ALCHRC23,Nervous system/sensory organ condition status recode
411,ALTIME24,Duration of digestive system problems: Number of units
412,ALUNIT24,Duration of digestive system problems: Time unit
413,ALDURA24,"Duration (in years) of digestive system problems, recode 1"
414,ALDURB24,"Duration of digestive system problems, recode 2"
415,ALCHRC24,Digestive system problems condition status recode
416,ALTIME25,Duration of genitourinary system problem: Number of units
417,ALUNIT25,Duration of genitourinary system problem: Time unit
418,ALDURA25,"Duration (in years) of genitourinary system problem, recode 1"
419,ALDURB25,"Duration of genitourinary system problem, recode 2"
420,ALCHRC25,Genitourinary system problem condition status recode
421,ALTIME26,Duration of skin/subcutaneous system problems: Number of units
422,ALUNIT26,Duration of skin/subcutaneous system problems: Time unit
423,ALDURA26,"Duration (in years) of skin/subcutaneous system problems, recode 1"
424,ALDURB26,"Duration of skin/subcutaneous system problems, recode 2"
425,ALCHRC26,Skin/subcutaneous system problems condition status recode
426,ALTIME27,Duration of blood or blood-forming organ problem: Number of units
427,ALUNIT27,Duration of blood or blood-forming organ problem: Time unit
428,ALDURA27,"Duration (in years) of blood or blood-forming organ problem, recode 1"
429,ALDURB27,"Duration of blood or blood-forming organ problem, recode 2"
430,ALCHRC27,Blood or blood-forming organ problem condition status recode
431,ALTIME28,Duration of benign tumor/cyst: Number of units
432,ALUNIT28,Duration of benign tumor/cyst: Time unit
433,ALDURA28,"Duration (in years) of benign tumor/cyst, recode 1"
434,ALDURB28,"Duration of benign tumor/cyst, recode 2"
435,ALCHRC28,Benign tumor/cyst condition status recode
436,ALTIME29,Duration of alcohol /drug/substance abuse problem: Number of units
437,ALUNIT29,Duration of alcohol/drug/substance abuse problem: Time unit
438,ALDURA29,"Duration (in years) of alcohol/drug/substance abuse problem, recode 1"
439,ALDURB29,"Duration of alcohol/drug/substance abuse problem, recode 2"
440,ALCHRC29,Alcohol /drug/substance abuse problem condition status recode
441,ALTIME30,Duration of other mental problem/ADD/Bipolar/Schizophrenia: Number of
442,ALUNIT30,Duration of other mental problem/ADD/Bipolar/Schizophrenia: Time unit
443,ALDURA30,"Duration (in years) of other mental problem/ADD/Bipolar/Schizophrenia,"
444,ALDURB30,"Duration of other mental problem/ADD/Bipolar/Schizophrenia, recode 2"
445,ALCHRC30,Other mental problem/ADD/Bipolar/Schizophrenia condition status recode
446,ALTIME31,Duration of surgical after-effects/medical treatment problems: Number of units
447,ALUNIT31,Duration of surgical after-effects/medical treatment problems: Time unit
448,ALDURA31,"Duration (in years) of surgical after-effects/medical treatment prob, recode 1"
449,ALDURB31,"Duration of surgical after-effects/medical treatment problems, recode 2"
450,ALCHRC31,Surgical after-effects/medical treatment problems condition status recode
451,ALTIME32,"Duration of ""old age""/elderly/aging-related problems: Number of units"
452,ALUNIT32,"Duration of ""old age""/elderly/aging-related problems: Time unit"
453,ALDURA32,"Duration (in years) of ""old age""/elderly/aging-related problems, recode 1"
454,ALDURB32,"Duration of ""old age""/elderly/aging-related problems, recode 2"
455,ALCHRC32,"""Old age""/elderly/aging-related problems condition status recode"
456,ALTIME33,Duration of fatigue/tiredness/weakness problem: Number of units
457,ALUNIT33,Duration of fatigue/tiredness/weakness problem: Time unit
458,ALDURA33,"Duration (in years) of fatigue/tiredness/weakness problem, recode 1"
459,ALDURB33,"Duration of fatigue/tiredness/weakness problem, recode 2"
460,ALCHRC33,Fatigue/tiredness/weakness problem condition status recode
461,ALTIME34,Duration of pregnancy-related problem: Number of units
462,ALUNIT34,Duration of pregnancy-related problem: Time unit
463,ALDURA34,"Duration (in years) of pregnancy-related problem, recode 1"
464,ALDURB34,"Duration of pregnancy-related problem, recode 2"
465,ALCHRC34,Pregnancy-related condition status recode
466,ALTIME90,Duration of other impairment/problem N.E.C. (1): Number of units
467,ALUNIT90,Duration of other impairment/problem N.E.C. (1): Time unit
468,ALDURA90,"Duration (in years) of other impairment/problem N.E.C. (1), recode 1"
469,ALDURB90,"Duration of other impairment/problem N.E.C. (1), recode 2"
470,ALCHRC90,Other impairment/problem N.E.C. (1) condition status recode
471,ALTIME91,Duration of other impairment/problem N.E.C. (2): Number of units
472,ALUNIT91,Duration of other impairment/problem N.E.C. (2): Time unit
473,ALDURA91,"Duration (in years) of other impairment/ problem N.E.C. (2), recode 1"
474,ALDURB91,"Duration of other impairment/problem N.E.C. (2), recode 2"
475,ALCHRC91,Other impairment/problem N.E.C. (2) condition status recode
476,ALCNDRT,Chronic condition recode for individual with functional limitation
477,ALCHRONR,Overall functional limitation recode by condition status
478,SMKEV,Ever smoked 100 cigarettes
479,SMKREG,Age first smoked fairly regularly
480,SMKNOW,Smoke freq: every day/some days/not at all
481,SMKSTAT2,Smoking Status: Recode
482,SMKQTNO,Time since quit: # of units
483,SMKQTTP,Time since quit: time period
484,SMKQTY,Time since quit smoking (in years)
485,CIGSDA1,Number cigs per day (daily smokers)
486,CIGDAMO,Number days smoked in past 30 days
487,CIGSDA2,Number cigs per day (some day smokers)
488,CIGSDAY,Number of cigarettes a day (all current smokers)
489,CIGQTYR,"Tried quit smoking 1+ days, past 12 m"
490,ECIGEV2,"Ever used electronic cigarettes (e-cig), even once"
491,ECIGCUR2,E-cig freq: every day/some days/not at all
492,ECIG30D2,"Number of days used e-cigarettes, past 30 days"
493,CIGAREV2,"Ever smoked a regular cigar, cigarillo, or little filtered cigar, even once"
494,CIGCUR2,"Smoke freq:every day/some days/not at all-cigars,cigarillos,or lil' filtered cig"
495,CIG30D2,"Number of days smoked cigar, cigarillo, or little filtered cigar, past 30 days"
496,PIPEV2,"Ever smoked pipe filled w/tobacco - either pipe,water pipe,or hookah,even once"
497,PIPECUR2,"Smoke freq: every day/some days/not at all - either pipes,water pipes,or"
498,SMKLSTB1,"Ever used smokeless tobacco products, even once"
