,Variable Name,Description
162,JNTSYMP,Symptoms of joint pain/aching/stiffness past 30 d
163,JMTHP1,Which joint affected...shoulder-right
164,JMTHP2,Which joint affected...shoulder-left
165,JMTHP3,Which joint affected...elbow-right
166,JMTHP4,Which joint affected...elbow-left
167,JMTHP5,Which joint affected...hip-right
168,JMTHP6,Which joint affected...hip-left
169,JMTHP7,Which joint affected...wrist-right
170,JMTHP8,Which joint affected...wrist-left
171,JMTHP9,Which joint affected...knee-right
172,JMTHP10,Which joint affected...knee-left
173,JMTHP11,Which joint affected...ankle-right
174,JMTHP12,Which joint affected...ankle-left
175,JMTHP13,Which joint affected...toes-right
176,JMTHP14,Which joint affected...toes-left
177,JMTHP15,Which joint affected...fingers/thumb-right
178,JMTHP16,Which joint affected...fingers/thumb-left
179,JMTHP17,Which joint affected...other joint not listed
180,JNTCHR,Joint symptoms begin more than 3 months ago
181,JNTHP,Ever seen doctor or health professional for joint symptoms
182,ARTH1,Ever been told you had arthritis
183,ARTHLMT,Limited due to arthritis or joint symptoms
184,PAINECK,"Had neck pain, past 3 months"
185,PAINLB,"Had low back pain, past 3 months"
186,PAINLEG,Pain spread down leg/below knees
187,PAINFACE,"Had pain in jaw/front of ear, past 3 months"
188,AMIGR,"Had severe headache/migraine, past 3 m"
189,ACOLD2W,Had a head/chest cold past 2 w
190,AINTIL2W,"Had stomach prob w/vomit/diarrhea, 2 w"
191,PREGNOW,Currently pregnant
192,PREGFLYR,Recently pregnant
193,HRAIDNOW,Now use a hearing aid
194,HRAIDEV,Ever used a hearing aid if not now using
195,AHEARST1,Hearing w/o hearing aid
196,AVISION,Trouble seeing even w/glasses/lenses
197,ABLIND,Blind or unable to see at all
198,LUPPRT,Lost all upper & lower natural teeth
199,WKDAYR,"Number of work loss days, past 12 months"
200,BEDDAYR,"Number of bed days, past 12 months"
201,AHSTATYR,"Health better/worse/same, compared w/ 12 months ago"
202,SPECEQ,Have health problem that requires special equipment
203,FLWALK,How difficult to walk 1/4 mile without special equipment
204,FLCLIMB,How difficult to climb 10 steps without special equipment
205,FLSTAND,How difficult to stand 2 hours without special equipment
206,FLSIT,How difficult to sit 2 hours without special equipment
207,FLSTOOP,"How difficult to stoop, bend or kneel without special equipment"
208,FLREACH,How difficult to reach over head without special equipment
209,FLGRASP,How difficult to grasp small objects without special equipment
210,FLCARRY,How difficult to lift/carry 10 lbs without special equipment
211,FLPUSH,How difficult to push large objects without special equipment
212,FLSHOP,How difficult to go out to events without special equipment
213,FLSOCL,How difficult to participate in social activities without special equipment
214,FLRELAX,How difficult to relax at home without special equipment
215,FLA1AR,"Any functional limitation, all conditions"
216,AFLHCA1,Vision/problem seeing causes difficulty with activity
217,AFLHCA2,Hearing problem causes difficulty with activity
218,AFLHCA3,Arthritis/rheumatism causes difficulty with activity
219,AFLHCA4,Back or neck problem causes difficulty with activity
220,AFLHCA5,"Fracture, bone/joint injury causes difficulty with activity"
221,AFLHCA6,Other injury causes difficulty with activity
222,AFLHCA7,Heart problem causes difficulty with activity
223,AFLHCA8,Stroke problem causes difficulty with activity
224,AFLHCA9,Hypertension/high blood pressure causes difficulty with activity
225,AFLHCA10,Diabetes causes difficulty with activity
226,AFLHCA11,"Lung/breathing problem (e.g., asthma) causes difficulty with activity"
227,AFLHCA12,Cancer causes difficulty with activity
228,AFLHCA13,Birth defect causes difficulty with activity
229,ALHCA14A,"Intellectual disability, AKA mental retardation causes difficulty with activity"
230,AFLHCA15,"Other developmental problem (eg, cerebral palsy) causes difficulty with activity"
231,AFLHCA16,Senility causes difficulty with activity
232,AFLHCA17,Depression/anxiety/emotional problem causes difficulty with activity
233,AFLHCA18,Weight problem causes difficulty with activity
234,AFLHC19_,Missing or amputated limb/finger/digit causes difficulty with activity
235,AFLHC20_,Musculoskeletal/connective tissue problem causes difficulty with activity
236,AFLHC21_,Circulation problems (including blood clots) cause difficulty with activity
237,AFLHC22_,Endocrine/nutritional/metabolic problem causes difficulty with activity
238,AFLHC23_,Nervous system/sensory organ condition causes difficulty with activity
239,AFLHC24_,Digestive system problem causes difficulty with activity
240,AFLHC25_,Genitourinary system problem causes difficulty with activity
241,AFLHC26_,Skin/subcutaneous system problem causes difficulty with activity
242,AFLHC27_,Blood or blood-forming organ problem causes difficulty with activity
243,AFLHC28_,Benign tumor/cyst causes difficulty with activity
244,AFLHC29_,Alcohol/drug/substance abuse problem causes difficulty with activity
245,AFLHC30_,Other mental problem/ADD/Bipolar/Schizophrenia causes difficulty with
246,AFLHC31_,Surgical after-effects/medical treatment causes difficulty with activity
247,AFLHC32_,"""Old age""/elderly/aging-related problem causes difficulty with activity"
248,AFLHC33_,Fatigue/tiredness/weakness causes difficulty with activity
249,AFLHC34_,Pregnancy-related problem causes difficulty with activity
250,AFLHCA90,Other impairment/problem (1) causes difficulty with activity
251,AFLHCA91,Other impairment/problem (2) causes difficulty with activity
252,ALTIME1,Duration of vision problem: Number of units
253,ALUNIT1,Duration of vision problem: Time unit
254,ALDURA1,"Duration (in years) of vision problem, recode 1"
255,ALDURB1,"Duration of vision problem, recode 2"
256,ALCHRC1,Vision problem condition status recode
257,ALTIME2,Duration of hearing problem: Number of units
258,ALUNIT2,Duration of hearing problem: Time unit
259,ALDURA2,"Duration (in years) of hearing problem, recode 1"
260,ALDURB2,"Duration of hearing problem, recode 2"
261,ALCHRC2,Hearing problem condition status recode
262,ALTIME3,Duration of arthritis/rheumatism: Number of units
263,ALUNIT3,Duration of arthritis/rheumatism: Time unit
264,ALDURA3,"Duration (in years) of arthritis/rheumatism, recode 1"
265,ALDURB3,"Duration of arthritis/rheumatism, recode 2"
266,ALCHRC3,Arthritis/rheumatism condition status recode
267,ALTIME4,Duration of back or neck problem: Number of units
268,ALUNIT4,Duration of back or neck problem: Time unit
269,ALDURA4,"Duration (in years) of back or neck problem, recode 1"
270,ALDURB4,"Duration of back or neck problem, recode 2"
271,ALCHRC4,Back or neck problem condition status recode
272,ALTIME5,"Duration of fracture, bone/joint injury: Number of units"
273,ALUNIT5,"Duration of fracture, bone/joint injury: Time unit"
274,ALDURA5,"Duration (in years) of fracture, bone/joint injury, recode 1"
275,ALDURB5,"Duration of fracture, bone/joint injury, recode 2"
276,ALCHRC5,"Fracture, bone/joint injury condition status recode"
277,ALTIME6,Duration of other injury: Number of units
278,ALUNIT6,Duration of other injury: Time unit
279,ALDURA6,"Duration (in years) of other injury, recode 1"
280,ALDURB6,"Duration of other injury, recode 2"
281,ALCHRC6,Other injury condition status recode
282,ALTIME7,Duration of heart problem: Number of units
283,ALUNIT7,Duration of heart problem: Time unit
284,ALDURA7,"Duration (in years) of heart problem, recode 1"
285,ALDURB7,"Duration of heart problem, recode 2"
286,ALCHRC7,Heart problem condition status recode
287,ALTIME8,Duration of stroke problem: Number of units
288,ALUNIT8,Duration of stroke problem: Time unit
289,ALDURA8,"Duration (in years) of stroke problem, recode 1"
290,ALDURB8,"Duration of stroke problem, recode 2"
291,ALCHRC8,Stroke problem condition status recode
292,ALTIME9,Duration of hypertension or high blood pressure: Number of units
293,ALUNIT9,Duration of hypertension or high blood pressure: Time unit
294,ALDURA9,Duration (in years) of hypertension or high blood pressure: recode 1
295,ALDURB9,Duration of hypertension or high blood pressure: recode 2
296,ALCHRC9,Hypertension or high blood pressure condition status recode
297,ALTIME10,Duration of diabetes: Number of units
298,ALUNIT10,Duration of diabetes: Time unit
299,ALDURA10,"Duration (in years) of diabetes, recode 1"
300,ALDURB10,"Duration of diabetes, recode 2"
301,ALCHRC10,Diabetes condition status recode
302,ALTIME11,"Duration of lung/breathing problem (e.g., asthma and emphysema): Number of"
303,ALUNIT11,"Duration of lung/breathing problem: (e.g., asthma and emphysema) Time unit"
304,ALDURA11,"Duration (in years) of lung/breathing problem (e.g., asthma), recode 1"
305,ALDURB11,"Duration of lung/breathing problem (e.g., asthma and emphysema), recode 2"
306,ALCHRC11,"Lung/breathing problem (e.g., asthma and emphysema) condition status recode"
307,ALTIME12,Duration of cancer: Number of units
308,ALUNIT12,Duration of cancer: Time unit
309,ALDURA12,"Duration (in years) of cancer, recode 1"
310,ALDURB12,"Duration of cancer, recode 2"
311,ALCHRC12,Cancer condition status recode
312,ALTIME13,Duration of birth defect: Number of units
313,ALUNIT13,Duration of birth defect: Time unit
314,ALDURA13,"Duration (in years) of birth defect, recode 1"
315,ALDURB13,"Duration of birth defect, recode 2"
316,ALCHRC13,Birth defect condition status recode
317,ATIME14A,"Duration of intellectual disability, AKA mental retardation: Number of units"
318,AUNIT14A,"Duration of intellectual disability, also know as mental retardation: Time unit"
319,ADURA14A,"Duration (in years) of intellectual disability, AKA mental retardation, recode 1"
320,ADURB14A,"Duration of intellectual disability, also known as mental retardation, recode 2"
321,ACHRC14A,"Intellectual disability, AKA mental retardation condition status recode"
322,ALTIME15,"Duration of other developmental problem (e.g., cerebral palsy): Number of units"
323,ALUNIT15,"Duration of other developmental problem (e.g., cerebral palsy): Time unit"
324,ALDURA15,"Duration (in years) of other developmental problem (eg cerebral palsy), recode"
325,ALDURB15,"Duration of other developmental problem (e.g., cerebral palsy), recode 2"
326,ALCHRC15,"Other developmental problem (e.g., cerebral palsy) condition status recode"
327,ALTIME16,Duration of senility: Number of units
328,ALUNIT16,Duration of senility: Time unit
329,ALDURA16,"Duration (in years) of senility, recode 1"
330,ALDURB16,"Duration of senility, recode 2"
331,ALCHRC16,Senility condition status recode
332,ALTIME17,Duration of depression/anxiety/emotional problem: Number of units
333,ALUNIT17,Duration of depression/anxiety/emotional problem: Time unit
334,ALDURA17,"Duration (in years) of depression/anxiety/emotional problem, recode 1"
335,ALDURB17,"Duration of depression/anxiety/emotional problem, recode 2"
336,ALCHRC17,Depression/anxiety/emotional problem condition status recode
337,ALTIME18,Duration of weight problem: Number of units
338,ALUNIT18,Duration of weight problem: Time unit
339,ALDURA18,"Duration (in years) of weight problem, recode 1"
340,ALDURB18,"Duration of weight problem, recode 2"
341,ALCHRC18,Weight problem condition status recode
342,ALTIME19,"Duration of missing limbs (fingers, toes); amputation: Number of units"
343,ALUNIT19,"Duration of missing limbs (fingers, toes, or digits); amputation: Time unit"
344,ALDURA19,"Duration (in years) of missing limbs (fingers, toes); amputation, recode 1"
345,ALDURB19,"Duration of missing limbs (fingers, toes, or digits); amputation, recode 2"
346,ALCHRC19,"Missing limbs (fingers, toes, or digits); amputation condition status recode"
347,ALTIME20,Duration of musculoskeletal/connective tissue problem: Number of units
348,ALUNIT20,Duration of musculoskeletal/connective tissue problem: Time unit
349,ALDURA20,"Duration (in years) of musculoskeletal/connective tissue problem, recode 1"
350,ALDURB20,"Duration of musculoskeletal/connective tissue problem, recode 2"
351,ALCHRC20,Musculoskeletal/connective tissue problem condition status recode
352,ALTIME21,Duration of circulation problems (including blood clots): Number of units
353,ALUNIT21,Duration of circulation problems (including blood clots): Time unit
354,ALDURA21,"Duration (in years) of circulation problems (including blood clots), recode 1"
355,ALDURB21,"Duration of circulation problems (including blood clots), recode 2"
356,ALCHRC21,Circulation problems (including blood clots) condition status recode
357,ALTIME22,Duration of endocrine/nutritional/metabolic problem: Number of units
358,ALUNIT22,Duration of endocrine/nutritional/metabolic problem: Time unit
359,ALDURA22,"Duration (in years) of endocrine/nutritional/metabolic problem, recode 1"
360,ALDURB22,"Duration of endocrine/nutritional/metabolic problem, recode 2"
361,ALCHRC22,Endocrine/nutritional/metabolic problem condition status recode
362,ALTIME23,Duration of nervous system/sensory organ condition: Number of units
363,ALUNIT23,Duration of nervous system/sensory organ condition: Time unit
364,ALDURA23,"Duration (in years) of nervous system/sensory organ condition, recode 1"
365,ALDURB23,"Duration of nervous system/sensory organ condition, recode 2"
366,ALCHRC23,Nervous system/sensory organ condition status recode
367,ALTIME24,Duration of digestive system problems: Number of units
368,ALUNIT24,Duration of digestive system problems: Time unit
369,ALDURA24,"Duration (in years) of digestive system problems, recode 1"
370,ALDURB24,"Duration of digestive system problems, recode 2"
371,ALCHRC24,Digestive system problems condition status recode
372,ALTIME25,Duration of genitourinary system problem: Number of units
373,ALUNIT25,Duration of genitourinary system problem: Time unit
374,ALDURA25,"Duration (in years) of genitourinary system problem, recode 1"
375,ALDURB25,"Duration of genitourinary system problem, recode 2"
376,ALCHRC25,Genitourinary system problem condition status recode
377,ALTIME26,Duration of skin/subcutaneous system problems: Number of units
378,ALUNIT26,Duration of skin/subcutaneous system problems: Time unit
379,ALDURA26,"Duration (in years) of skin/subcutaneous system problems, recode 1"
380,ALDURB26,"Duration of skin/subcutaneous system problems, recode 2"
381,ALCHRC26,Skin/subcutaneous system problems condition status recode
382,ALTIME27,Duration of blood or blood-forming organ problem: Number of units
383,ALUNIT27,Duration of blood or blood-forming organ problem: Time unit
384,ALDURA27,"Duration (in years) of blood or blood-forming organ problem, recode 1"
385,ALDURB27,"Duration of blood or blood-forming organ problem, recode 2"
386,ALCHRC27,Blood or blood-forming organ problem condition status recode
387,ALTIME28,Duration of benign tumor/cyst: Number of units
388,ALUNIT28,Duration of benign tumor/cyst: Time unit
389,ALDURA28,"Duration (in years) of benign tumor/cyst, recode 1"
390,ALDURB28,"Duration of benign tumor/cyst, recode 2"
391,ALCHRC28,Benign tumor/cyst condition status recode
392,ALTIME29,Duration of alcohol /drug/substance abuse problem: Number of units
393,ALUNIT29,Duration of alcohol/drug/substance abuse problem: Time unit
394,ALDURA29,"Duration (in years) of alcohol/drug/substance abuse problem, recode 1"
395,ALDURB29,"Duration of alcohol/drug/substance abuse problem, recode 2"
396,ALCHRC29,Alcohol /drug/substance abuse problem condition status recode
397,ALTIME30,Duration of other mental problem/ADD/Bipolar/Schizophrenia: Number of
398,ALUNIT30,Duration of other mental problem/ADD/Bipolar/Schizophrenia: Time unit
399,ALDURA30,"Duration (in years) of other mental problem/ADD/Bipolar/Schizophrenia,"
400,ALDURB30,"Duration of other mental problem/ADD/Bipolar/Schizophrenia, recode 2"
401,ALCHRC30,Other mental problem/ADD/Bipolar/Schizophrenia condition status recode
402,ALTIME31,Duration of surgical after-effects/medical treatment problems: Number of units
403,ALUNIT31,Duration of surgical after-effects/medical treatment problems: Time unit
404,ALDURA31,"Duration (in years) of surgical after-effects/medical treatment prob, recode 1"
405,ALDURB31,"Duration of surgical after-effects/medical treatment problems, recode 2"
406,ALCHRC31,Surgical after-effects/medical treatment problems condition status recode
407,ALTIME32,"Duration of ""old age""/elderly/aging-related problems: Number of units"
408,ALUNIT32,"Duration of ""old age""/elderly/aging-related problems: Time unit"
409,ALDURA32,"Duration (in years) of ""old age""/elderly/aging-related problems, recode 1"
410,ALDURB32,"Duration of ""old age""/elderly/aging-related problems, recode 2"
411,ALCHRC32,"""Old age""/elderly/aging-related problems condition status recode"
412,ALTIME33,Duration of fatigue/tiredness/weakness problem: Number of units
413,ALUNIT33,Duration of fatigue/tiredness/weakness problem: Time unit
414,ALDURA33,"Duration (in years) of fatigue/tiredness/weakness problem, recode 1"
415,ALDURB33,"Duration of fatigue/tiredness/weakness problem, recode 2"
416,ALCHRC33,Fatigue/tiredness/weakness problem condition status recode
417,ALTIME34,Duration of pregnancy-related problem: Number of units
418,ALUNIT34,Duration of pregnancy-related problem: Time unit
419,ALDURA34,"Duration (in years) of pregnancy-related problem, recode 1"
420,ALDURB34,"Duration of pregnancy-related problem, recode 2"
421,ALCHRC34,Pregnancy-related condition status recode
422,ALTIME90,Duration of other impairment/problem N.E.C. (1): Number of units
423,ALUNIT90,Duration of other impairment/problem N.E.C. (1): Time unit
424,ALDURA90,"Duration (in years) of other impairment/problem N.E.C. (1), recode 1"
425,ALDURB90,"Duration of other impairment/problem N.E.C. (1), recode 2"
426,ALCHRC90,Other impairment/problem N.E.C. (1) condition status recode
427,ALTIME91,Duration of other impairment/problem N.E.C. (2): Number of units
428,ALUNIT91,Duration of other impairment/problem N.E.C. (2): Time unit
429,ALDURA91,"Duration (in years) of other impairment/ problem N.E.C. (2), recode 1"
430,ALDURB91,"Duration of other impairment/problem N.E.C. (2), recode 2"
431,ALCHRC91,Other impairment/problem N.E.C. (2) condition status recode
432,ALCNDRT,Chronic condition recode for individual with functional limitation
433,ALCHRONR,Overall functional limitation recode by condition status
434,SMKEV,Ever smoked 100 cigarettes
435,SMKREG,Age first smoked fairly regularly
436,SMKNOW,Smoke freq: every day/some days/not at all
437,SMKSTAT2,Smoking Status: Recode
438,SMKQTNO,Time since quit: # of units
439,SMKQTTP,Time since quit: time period
440,SMKQTY,Time since quit smoking (in years)
441,CIGSDA1,Number cigs per day (daily smokers)
442,CIGDAMO,Number days smoked in past 30 days
443,CIGSDA2,Number cigs per day (some day smokers)
444,CIGSDAY,Number of cigarettes a day (all current smokers)
445,CIGQTYR,"Tried quit smoking 1+ days, past 12 m"
446,ECIGEV2,"Ever used electronic cigarettes (e-cig), even once"
447,ECIGCUR2,E-cig freq: every day/some days/not at all
448,ECIG30D2,"Number of days used e-cigarettes, past 30 days"
449,CIGAREV2,"Ever smoked a regular cigar, cigarillo, or little filtered cigar, even once"
450,CIGCUR2,"Smoke freq:every day/some days/not at all-cigars,cigarillos,or lil' filtered cig"
451,CIG30D2,"Number of days smoked cigar, cigarillo, or little filtered cigar, past 30 days"
452,PIPEV2,"Ever smoked pipe filled w/tobacco - either pipe,water pipe,or hookah,even once"
453,PIPECUR2,"Smoke freq: every day/some days/not at all - either pipes,water pipes,or"
454,SMKLSTB1,"Ever used smokeless tobacco products, even once"
455,SMKLSCR2,Smokeless tobacco freq: every day/some days/not at all
456,VIGNO,Freq vigorous activity: # of units
457,VIGTP,Freq vigorous activity: Time units
458,VIGFREQW,Freq vigorous activity (times per wk)
459,VIGLNGNO,Duration vigorous activity: # units
460,VIGLNGTP,Duration vigorous activity: Time unit
461,VIGMIN,Duration vigorous activity (in minutes)
462,MODNO,Freq moderate activity: # of units
463,MODTP,Freq moderate activity: Time units
464,MODFREQW,Freq light/moderate activity (times per wk)
465,MODLNGNO,Duration moderate activity: # of units
466,MODLNGTP,Duration moderate activity: Time unit
467,MODMIN,Duration light/moderate activity (in minutes)
468,STRNGNO,Strength activity freq: # of units
469,STRNGTP,Strength activity freq: Time units
470,STRFREQW,Freq strength activity (times per wk)
471,ALC1YR,Ever had 12+ drinks in any  one year
472,ALCLIFE,Had 12+ drinks in ENTIRE LIFE
473,ALC12MNO,Freq drank alcohol pst yr:  # of units
474,ALC12MTP,Freq drank alcohol pst yr:  Time unit
475,ALC12MWK,Freq drank alcohol: Days per week
476,ALC12MYR,Freq drank alcohol: Days in past year
477,ALCAMT,Average # drinks on days drank
478,ALCSTAT,Alcohol drinking status: Recode
479,ALC5UPN1,"Days 5+/4+ drinks, past yr: # days"
480,ALC5UPT1,"Days 5+/4+ drinks, past yr: Time unit"
481,ALC5UPY1,Number of days had 5+/4+ drinks past year
482,BINGE1,"Number of times had 5+/4+ drinks on AN OCCASION, past 30 days"
483,AHEIGHT,Total height in inches
484,AWEIGHTP,Weight without shoes (pounds)
485,BMI,Body Mass Index (BMI)
486,AUSUALPL,Place USUALLY go when sick
487,APLKIND,Place to go when sick (most often)
488,AHCPLROU,USUALLY go there for routine/preventive care
489,AHCPLKND,Place USUALLY go for routine/preventive care
490,AHCCHGYR,"Change health care place, past 12 m"
491,AHCCHGHI,Change related to health insurance
492,AHCDLYR1,"Couldn't get through on phone, past 12 m"
493,AHCDLYR2,"Couldn't get appointment soon enough, past 12 m"
494,AHCDLYR3,"Wait too long in doctor's office, past 12 m"
495,AHCDLYR4,"Not open when you could go, past 12 m"
496,AHCDLYR5,"No transportation, past 12 m"
497,AHCAFYR1,"Couldn't afford prescription medicine, past 12 m"
498,AHCAFYR2,"Couldn't afford mental health care/counseling, past 12 m"
499,AHCAFYR3,"Couldn't afford dental care, past 12 m"
500,AHCAFYR4,"Couldn't afford eyeglasses, past 12 m"
501,AWORPAY,"Get sick or have accident, worried about paying medical bills"
502,ARX12MO,"Prescribed medication by doctor/health professional, past 12 m"
